2021-03-17 17:03:994 INFO  BrowserSelector :38 - Launching Chrome Browser
2021-03-17 17:03:07 INFO  HomePage :36 - Clicking on Contact Us Button[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
2021-03-17 17:03:665 INFO  ContactUsPage :43 - Select customer service from drop down menu[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //select[@id='id_contact']]
2021-03-17 17:03:69 INFO  ContactUsPage :49 - Entering Email Addresspeter12@gmail.comOn Email address Field[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //input[@id='email']]
2021-03-17 17:03:387 INFO  ContactUsPage :56 - Entering Order Reference52487452On order Reference Field[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //input[@id='id_order']]
2021-03-17 17:03:673 INFO  ContactUsPage :62 - Entering Message Helloin message Field[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //textarea[@id='message']]
2021-03-17 17:03:578 INFO  ContactUsPage :69 - Clicking on send ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='page']/div[2]/div[1]/div[3]/div[1]/form[1]/fieldset[1]/div[2]/button[1]/span[1]'
2021-03-17 17:03:631 INFO  ContactUsPage :74 - Getting Text Message[[ChromeDriver: chrome on WINDOWS (e148e849ab0c1463c94f748a31686ee1)] -> xpath: //p[contains(text(),'Your message has been successfully sent to our tea')]]
2021-03-17 17:03:259 INFO  BrowserSelector :38 - Launching Chrome Browser
2021-03-17 17:03:741 INFO  HomePage :36 - Clicking on Contact Us Button[[ChromeDriver: chrome on WINDOWS (3220e047abcc7cae3baaf38f52aa6997)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
2021-03-17 17:03:291 INFO  ContactUsPage :43 - Select customer service from drop down menu[[ChromeDriver: chrome on WINDOWS (3220e047abcc7cae3baaf38f52aa6997)] -> xpath: //select[@id='id_contact']]
